number,question,fiduciaryTopic,abbreviation,level,phase,planType,complianceEssentials,compliancePlus,complianceFull
1,How many years has your PBM been in operation and have there been any ownership changes mergers or acquisitions in the past 5 years?,Business Model & Revenue,BM,1,RFI,Both,TRUE,TRUE,TRUE
2,Are you an independent PBM or affiliated with a pharmacy health plan or manufacturer?,Business Model & Revenue,BM,1,RFI,Both,TRUE,TRUE,TRUE
3,List all subsidiaries affiliates and ownership details.,Business Model & Revenue,BM,2,RFP,Both,FALSE,TRUE,TRUE
4,Please provide the percentage breakdown of your revenue by source: administrative fees drug mark-ups manufacturer payments spread pricing and other sources.,Business Model & Revenue,BM,1,RFI,Both,TRUE,TRUE,TRUE
5,What contracting models do you offer? (Fee-based Pass-through Traditional/spread Hybrid),Business Model & Revenue,BM,1,RFI,Both,TRUE,TRUE,TRUE
6,Do you have a conflict-of-interest policy regarding manufacturer and pharmacy relationships?,Business Model & Revenue,BM,1,RFI,Both,TRUE,TRUE,TRUE
7,Are you owned by or do you own any subsidiaries or affiliates that could create conflicts of interest?,Business Model & Revenue,BM,1,RFI,Both,TRUE,TRUE,TRUE
8,What percentage of your business comes from self-funded vs. fully insured?,Business Model & Revenue,BM,1,RFI,Both,FALSE,TRUE,TRUE
9,What is your client retention rate over the past five years?,Business Model & Revenue,BM,1,RFI,Both,FALSE,TRUE,TRUE
10,Do you allow carve-outs for specialty pharmacy rebate management or other services?,Business Model & Revenue,BM,1,RFI,Both,FALSE,TRUE,TRUE
11,What PBM services do you offer in-house vs. outsourced?,Business Model & Revenue,BM,1,RFI,Both,FALSE,TRUE,TRUE
12,Do you own or operate your own mail-order pharmacy?,Business Model & Revenue,BM,1,RFI,Both,FALSE,TRUE,TRUE
13,For each contracting model you offer provide specific details on pricing structure rebate handling and fee arrangements.,Business Model & Revenue,BM,2,RFP,Both,FALSE,TRUE,TRUE
14,How do you differentiate your PBM from competitors?,Business Model & Revenue,BM,2,RFP,Both,FALSE,TRUE,TRUE
15,Do you provide full pass-through pricing?,Financial Transparency,FT,1,RFI,Both,TRUE,TRUE,TRUE
16,Do you guarantee clients receive 100% of manufacturer payments?,Financial Transparency,FT,1,RFI,Both,TRUE,TRUE,TRUE
17,Do you provide full disclosure of rebates by NDC?,Financial Transparency,FT,1,RFI,Both,TRUE,TRUE,TRUE
18,Have you faced litigation related to drug pricing rebates or spread pricing?,Financial Transparency,FT,1,RFI,Both,TRUE,TRUE,TRUE
19,Have you had clients terminate contracts due to pricing transparency issues?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
20,Do you provide real-time rebate reconciliation reports?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
21,What level of data visibility do clients have into pricing models?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
22,Do you provide PBM pricing guarantees?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
23,Do you provide real-time access to MAC list pricing updates?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
24,What AWP discount percentages do you provide?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
25,Do you provide quarterly financial reconciliation reports?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
26,Can clients customize pricing terms based on their specific needs?,Financial Transparency,FT,1,RFI,Both,FALSE,TRUE,TRUE
27,How do you handle mid-contract pricing changes?,Financial Transparency,FT,2,RFP,Both,FALSE,TRUE,TRUE
28,How frequently do you update MAC pricing?,Financial Transparency,FT,2,RFP,Both,FALSE,TRUE,TRUE
29,How do you ensure accurate reporting of pass-through vs. retained rebates?,Financial Transparency,FT,2,RFP,Both,FALSE,TRUE,TRUE
30,Do you provide detailed rebate reconciliation reports showing collected vs. passed-through amounts?,Financial Transparency,FT,2,RFI,Both,FALSE,TRUE,TRUE
